Sr.No,Name,Brand,UnitPrice,DicountPrice,Category,SubCategory,Quantity
976,Amul Processed Cheese Block,Amul,114,107,Dairy & Beverages,Dairy,200 gm
977,Amul Processed Cheese Block,Amul,265,248,Dairy & Beverages,Dairy,500 gm
978,Amul Cheese Slices,Amul,75,70,Dairy & Beverages,Dairy,100 gm
979,Amul Cheese Slices,Amul,130,122,Dairy & Beverages,Dairy,200 gm
980,Amul Cheese Slices,Amul,248,235,Dairy & Beverages,Dairy,400 gm
981,Amul Cheese Slices,Amul,390,362,Dairy & Beverages,Dairy,750 gm
982,Britannia Cheese Slices,Britannia,400,268,Dairy & Beverages,Dairy,400 gm
983,Britannia Cheese Slices,Britannia,600,375,Dairy & Beverages,Dairy,663 gm
984,Britannia Cheese Slices,Britannia,165,130,Dairy & Beverages,Dairy,200 gm
985,Amul Mozzarella Diced Pizza Cheese (Frozen),Amul,486,451,Dairy & Beverages,Dairy,1 kg
986,Amul Diced Mozzarella & Cheddar Cheese Blend (Frozen),Amul,113,105,Dairy & Beverages,Dairy,200 gm
987,Gowardhan Processed Cheese,Gowardhan,260,240,Dairy & Beverages,Dairy,400 gm
988,Gowardhan Processed Cheese,Gowardhan,499,449,Dairy & Beverages,Dairy,1 kg
989,Amul Cheese Spread Plain,Amul,94,89,Dairy & Beverages,Dairy,200 gm
990,Britannia Cheese Block,Britannia,300,225,Dairy & Beverages,Dairy,400 gm
991,Britannia Cheese Cubes,Britannia,155,124,Dairy & Beverages,Dairy,200 gm
992,Britannia Cheese Cubes,Britannia,450,375,Dairy & Beverages,Dairy,600 gm
993,Britannia Cheeza Pizza Cheese,Britannia,160,148,Dairy & Beverages,Dairy,200 gm
994,Britannia Cheeza Pizza Cheese,Britannia,300,226,Dairy & Beverages,Dairy,400 gm
995,Tetley Green Tea Ginger Mint & Lemon,Tetley,600,300,Dairy & Beverages,Beverages,100 Bags
996,Amul Easy To Grate Processed Cheese,Amul,500,465,Dairy & Beverages,Dairy,1 kg
997,D'lecta Cheese Slices,D'lecta,310,155,Dairy & Beverages,Dairy,400 gm
998,D'lecta Cheese Slices,D'lecta,160,99,Dairy & Beverages,Dairy,200 gm
999,Amul Diced Blend Cheese,Amul,495,455,Dairy & Beverages,Dairy,1 kg
1000,Gowardhan Go Cheese Slices - Plain,Gowardhan Go,155,120,Dairy & Beverages,Dairy,200 gm
1001,Tetley Classic Immune Green Tea,Tetley,600,300,Dairy & Beverages,Beverages,100 Bags
1002,D'lecta Shredded Mozzarella Cheese,D'lecta,305,244,Dairy & Beverages,Dairy,500 gm
1003,D'lecta Cheese Cubes,D'lecta,155,119,Dairy & Beverages,Dairy,200 gm
1004,Mother Dairy Cheese Cubes,Mother Dairy,125,115,Dairy & Beverages,Dairy,180 gm
1005,Mother Dairy Cheese Slices,Mother Dairy,135,120,Dairy & Beverages,Dairy,200 gm
1006,Amul Mozzarella & Cheddar Pizza Cheese,Amul,113,106,Dairy & Beverages,Dairy,200 gm
1007,D'lecta Cream Cheese,D'lecta,330,264,Dairy & Beverages,Dairy,400 gm
1008,D'lecta Cream Cheese,D'lecta,175,149,Dairy & Beverages,Dairy,150 gm
1009,D'lecta Processed Cheese Block,D'lecta,155,124,Dairy & Beverages,Dairy,200 gm
1010,D'lecta Natural Feta Salad Cheese,D'lecta,105,84,Dairy & Beverages,Dairy,100 gm
1011,Gowardhan Go Pizza Cheese,Gowardhan Go,150,113,Dairy & Beverages,Dairy,200 gm
1012,D'lecta Cheese Spread,D'lecta,120,96,Dairy & Beverages,Dairy,180 gm
1013,D'lecta Natural Cheddar Cheese,D'lecta,199,159,Dairy & Beverages,Dairy,200 gm
1014,Amul Mozzarella Pizza Cheese (Frozen),Amul,108,100,Dairy & Beverages,Dairy,200 gm
1015,D'lecta Frozen Shredded Mozzarella Cheese,D'lecta,105,84,Dairy & Beverages,Dairy,140 gm
1016,Gowardhan Processed Cheese Angles Plain,Gowardhan Go,100,80,Dairy & Beverages,Dairy,160 gm
1017,D'lecta Natural Cheddar Cheese Slices,D'lecta,199,159,Dairy & Beverages,Dairy,200 gm
1018,Wagh Bakri Shudh Kahwa Green Tea,Wagh Bakri,225,180,Dairy & Beverages,Beverages,25 Bags
1019,Organic Tulsi Ginger Turmeric,Organic,168,135,Dairy & Beverages,Beverages,25 Bags
1020,Twinings Green Tea Lemon & Honey,Twinings,299,254,Packaged Food,Gourmet Food,25 Bags
1021,Twinings Green Tea Lemon & Honey,Twinings,999,855,Packaged Food,Gourmet Food,100 Bags
1022,Twinings Green Tea & Lemon,Twinings,955,820,Packaged Food,Gourmet Food,100 Bags
1023,Tea Culture Of The World Soothing Chamomile Exotic Tea,Tea Culture Of The World,299,210,Dairy & Beverages,Beverages,20 Bag
1024,Tea Culture Of The World Moroccan Mint Exotic Tea,Tea Culture Of The World,249,175,Dairy & Beverages,Beverages,20 Bag
1025,Twinings Pure Green Tea,Twinings,999,820,Packaged Food,Gourmet Food,100 Bags
1026,Tea Culture Of The World Flowery Bouquet Exotic Tea,Tea Culture Of World,249,175,Dairy & Beverages,Beverages,20 Bag
1027,Tea Culture Of The World Kashmiri Kahwa Exotic Tea,Tea Culture Of The World,349,245,Dairy & Beverages,Beverages,20 Bag
1028,Tea Culture Of The World Tulsi Ritual Exotic Tea,Tea Culture Of The World,249,175,Dairy & Beverages,Beverages,20 Bag
1029,Twinings Darjeeling Loose Leaf Tea,Twinings,750,601,Packaged Food,Gourmet Food,100 gm
1030,Britannia Diced Pizza Cheese Blend,Britannia,150,125,Dairy & Beverages,Dairy,200 gm
1031,Britannia Diced Pizza Cheese Blend,Britannia,350,295,Dairy & Beverages,Dairy,500 gm
1032,Bru Instant Coffee Pouch,Bru,90,83,Dairy & Beverages,Beverages,50 gm
1033,Bru Instant Coffee Pouch,Bru,380,299,Dairy & Beverages,Beverages,200 gm
1034,Nescafé Classic Coffee,Nescafe,160,135,Dairy & Beverages,Beverages,50 gm
1035,Nescafé Classic Coffee,Nescafe,600,555,Dairy & Beverages,Beverages,200 gm
1036,Nescafé Classic Coffee,Nescafe,1320,1220,Dairy & Beverages,Beverages,500 gm
1037,Le Café 100% Pure Instant Coffee,Le Cafe,108,54,Dairy & Beverages,Beverages,50 gm
1038,Nestlé Everyday Dairy Whitener,Nestle,113,105,Dairy & Beverages,Dairy,200 gm
1039,Nestlé Everyday Dairy Whitener,Nestle,218,198,Dairy & Beverages,Dairy,400 gm
1040,Nestlé Everyday Dairy Whitener,Nestle,535,474,Dairy & Beverages,Dairy,1 kg
1041,Gowardhan Paneer Classic Block,Gowardhan,98,83,Dairy & Beverages,Dairy,200 gm
1042,Gowardhan Paneer Classic Block,Gowardhan,225,180,Dairy & Beverages,Dairy,500 gm
1043,Amul Masti Spiced Buttermilk,Amul,14,13,Dairy & Beverages,Dairy,180 ml
1044,Amul Masti Spiced Buttermilk,Amul,50,50,Dairy & Beverages,Dairy,1 L
1045,Nescafé Sunrise Coffee,Nescafe,95,85,Dairy & Beverages,Beverages,50 gm
1046,Nescafé Sunrise Coffee,Nescafe,380,342,Dairy & Beverages,Beverages,200 gm
1047,Amul Fresh Paneer,Amul,362,330,Dairy & Beverages,Dairy,2x500 gm
1048,Amul Fresh Paneer,Amul,80,70,Dairy & Beverages,Dairy,200 gm
1049,Nescafé Classic Coffee Jar,Nescafe,330,275,Dairy & Beverages,Beverages,95 gm
1050,Nescafé Classic Coffee Jar,Nescafe,170,155,Dairy & Beverages,Beverages,48 gm
1051,Nescafé Classic Coffee Jar,Nescafe,80,74,Dairy & Beverages,Beverages,25 gm
1052,Amul Fresh Cream,Amul,65,61,Dairy & Beverages,Dairy,250 ml
1053,Amul Fresh Cream,Amul,205,193,Dairy & Beverages,Dairy,1 L
1054,Yakult Probiotic Health Drink,Yakult,80,80,Dairy & Beverages,Dairy,5x65 ml
1055,House Instant Coffee,House Coffee,85,42,Dairy & Beverages,Beverages,50 gm
1056,Amul Mithai Mate Sweetened Condensed Milk,Amul,116,107,Dairy & Beverages,Dairy,400 gm
1057,Nestlé Milkmaid,Nestle,139,124,Dairy & Beverages,Dairy,380 gm
1058,Nescafe Gold Blend Coffee Jar,Nescafe,495,425,Dairy & Beverages,Beverages,100 gm
1059,Nescafe Gold Blend Coffee Jar,Nescafe,295,249,Dairy & Beverages,Beverages,50 gm
1060,Epigamia Milkshake Chocolate,Epigamia,40,28,Dairy & Beverages,Dairy,180 ml
1061,Chitale Fresh Paneer,Chitale,80,75,Dairy & Beverages,Dairy,200 gm
1062,Le Cafe Coffee Jar,Le Café,125,62,Dairy & Beverages,Beverages,50 gm
1063,Continental Xtra Coffee Jar,Continental,310,240,Dairy & Beverages,Beverages,200 gm
1064,Prabhat Malai Paneer,Prabhat,95,75,Dairy & Beverages,Dairy,200 gm
1065,Amul Malai Paneer (Frozen),Amul,82,75,Dairy & Beverages,Dairy,200 gm
1066,Amul Malai Paneer (Frozen),Amul,378,349,Dairy & Beverages,Dairy,1 Kg
1067,Amul Frozen Rasmalai,Amul,220,190,Dairy & Beverages,Dairy,500 gm
1068,Epigamia Milkshake Strawberry,Epigamia,35,27,Dairy & Beverages,Dairy,180 ml
1069,Continental Xtra Instant South Blend Coffee,Continental,140,70,Dairy & Beverages,Beverages,50 gm
1070,Colombian Brew Instant Coffee Original,Colombian,299,149,Packaged Food,Gourmet Food,100 gm
1071,Id Natural Paneer,Id,110,92,Dairy & Beverages,Dairy,200 gm
1072,Davidoff Coffee Espresso Intense,Davidoff,550,495,Dairy & Beverages,Beverages,100 gm
1073,Epigamia Milkshake Vanilla,Epigamia,40,28,Dairy & Beverages,Dairy,180 ml
1074,Cothas Coffee Speciality Blend,Cothas,122,110,Dairy & Beverages,Beverages,200 gm
1075,Davidoff Coffee Rich Aroma,Davidoff,550,495,Dairy & Beverages,Beverages,100 gm
1076,D'lecta Dairy Cream,D'lecta,57,45,Dairy & Beverages,Dairy,200 ml
1077,Colombian Brew Instant Coffee Nutty Hazelnut,Colombian,399,199,Packaged Food,Gourmet Food,100 gm
1078,Le Café Instant Coffee,Le Cafe,400,200,Dairy & Beverages,Beverages,200 gm
1079,Amul Rose Lassi,Amul,20,20,Dairy & Beverages,Dairy,250 ml
1080,Colombian Brew Cappuccino Coffee Premix,Colombian Brew Coffee,249,124,Dairy & Beverages,Beverages,10 U
1081,Amul Lassi Rose Flavour,Amul,70,70,Dairy & Beverages,Dairy,1 L
1082,Nescafe Chilled Latte Coffee & Milk Beverage,Nescafe,45,40,Dairy & Beverages,Beverages,180 ml
1083,Colombian Brew Double Chocolate Mocha Coffee Premix,Colombian Brew Coffee,249,124,Dairy & Beverages,Beverages,10 U
1084,Nescafe Cappuccino Flavour Instense Café,Nescafe,45,40,Dairy & Beverages,Beverages,180 ml
1085,Nescafe Iced Latte Flavoured Can,Nescafe,65,58,Dairy & Beverages,Beverages,180 ml
1086,Colombian Brew Hazelnut Coffee Premix,Colombian Brew Coffee,249,124,Dairy & Beverages,Beverages,10 U
1087,Nescafe Hazelnut Flavour Coffee & Milk Beverage,Nescafe,45,41,Dairy & Beverages,Beverages,180 ml
1088,House Instant Coffee,House Coffee,330,165,Dairy & Beverages,Beverages,200 gm
1089,Cavin's Strawberry Milkshake,Cavin's,199,99,Dairy & Beverages,Dairy,1 L
1090,Yakult Light Health Drink,Yakult,95,95,Dairy & Beverages,Beverages,5x65 ml
1091,Colombian Brew Instant Coffee Double Chocolate Mocha,Colombian,399,199,Packaged Food,Gourmet Food,100 gm
1092,Nescafe Cappuccino Flavour Can,Nescafe,65,59,Dairy & Beverages,Beverages,180 ml
1093,Colombian Brew Vanilla Caramel Coffee Premix,Colombian Brew Coffee,249,124,Dairy & Beverages,Beverages,10 U
1094,ID Instant Filter Coffee Bold,ID,95,64,Dairy & Beverages,Beverages,150 ml
1095,Epigamia Artisanal Mishti Doi,Epigamia,35,20,Dairy & Beverages,Dairy,85 gm
1096,Colombian Brew Instant Coffee Wild Vanilla,Colombian,399,199,Packaged Food,Gourmet Food,100 gm
1097,ID Instant Filter Coffee Strong,ID,70,55,Dairy & Beverages,Beverages,150 ml
1098,Davidoff Coffee Fine Aroma,Davidoff,550,494,Dairy & Beverages,Beverages,100 gm
1099,Colombian Brew Instant Coffee Creamy Caramel,Colombian,350,175,Packaged Food,Gourmet Food,100 gm
1100,Continental Speciale Coffee Pouch,Continental,160,80,Dairy & Beverages,Beverages,50 gm
1101,Davidoff Coffee Crema Intense,Davidoff,550,494,Dairy & Beverages,Beverages,90 gm
1102,D'lecta Dairy Whipping Cream,D'lecta,495,396,Dairy & Beverages,Dairy,1 kg
1103,Raw Pressery Milkshake Cold Coffee,Raw Pressery,100,80,Dairy & Beverages,Beverages,200 ml
1104,Amul Kesar Elaichi Basundi,Amul,50,48,Dairy & Beverages,Dairy,250 ml
1105,TGL Co. Euphoria Instant Coffee Powder,TGL Co.,339,168,Dairy & Beverages,Beverages,100 gm
1106,Nescafé Classic Black Roast Coffee Jar,Nescafé,360,310,Dairy & Beverages,Beverages,100 gm
1107,Chitale Keshar Flavoured Milk,Chitale,25,23,Dairy & Beverages,Dairy,200 ml
1108,Nescafe Classic Coffee Jar,Nescafe,610,565,Dairy & Beverages,Beverages,200 gm
1109,Colombian Brew Green Coffee,Colombian,99,49,Dairy & Beverages,Beverages,10 U
1110,Cadbury Bournvita Health Drink Refill,Cadbury Bournvita,320,239,Dairy & Beverages,Beverages,750 gm
1111,Cadbury Bournvita Health Drink Refill,Cadbury Bournvita,214,185,Dairy & Beverages,Beverages,500 gm
1112,Cadbury Bournvita Health Drink Refill,Cadbury Bournvita,30,27,Dairy & Beverages,Beverages,75 gm
1113,Cadbury Bournvita Health Drink Refill,Cadbury Bournvita,395,306,Dairy & Beverages,Beverages,1 kg
1114,Pediasure Nutritional Powder - Premium Chocolate Flavour,Pediasure,590,535,Dairy & Beverages,Beverages,400 gm
1115,Pediasure Nutritional Powder - Premium Chocolate Flavour,Pediasure,1080,965,Dairy & Beverages,Beverages,750 gm
1116,Pediasure Nutritional Powder - Premium Chocolate Flavour,Pediasure,1375,1221,Dairy & Beverages,Beverages,1 kg
1117,Protinex Original Health Drink,Protinex,635,560,Dairy & Beverages,Beverages,400 gm
1118,Protinex Chocolate Flavour Health Drink Tin,Protinex,599,524,Dairy & Beverages,Beverages,400 gm
1119,Cadbury Bournvita 5 Star Magic Health Drink,Cadbury Bournvita,333,253,Dairy & Beverages,Beverages,750 gm
1120,Protinex Original,Proteinex,1080,852,Dairy & Beverages,Beverages,750 gm
1121,Horlicks Health & Nutrition Drink Refill - Chocolate,Horlicks,425,310,Dairy & Beverages,Beverages,1 kg
1122,Horlicks Health & Nutrition Drink Refill - Chocolate,Horlicks,339,224,Dairy & Beverages,Beverages,750 gm
1123,Amul Pro Whey Protein Malt Chocolate Drink,Amul,175,135,Dairy & Beverages,Beverages,500 gm
1124,Cadbury Bournvita Jar,Cadbury Bournvita,420,385,Dairy & Beverages,Beverages,1 kg
1125,Horlicks Health & Nutrition Drink Refill - Classic Malt,Horlicks,260,235,Dairy & Beverages,Beverages,500 gm
1126,Horlicks Health & Nutrition Drink Refill - Classic Malt,Horlicks,379,338,Dairy & Beverages,Beverages,750 gm
1127,Horlicks Health & Nutrition Drink Refill - Classic Malt,Horlicks,490,439,Dairy & Beverages,Beverages,1 kg
1128,Complan Chocolate Health Drink,Complan,540,399,Dairy & Beverages,Beverages,1 kg
1129,Complan Chocolate Health Drink,Complan,289,250,Dairy & Beverages,Beverages,500 gm
1130,Protinex Vanilla Flavour,Protinex,599,505,Dairy & Beverages,Beverages,400 gm
1131,Pediasure Vanilla Delight,Pediasure,1375,1275,Dairy & Beverages,Beverages,1 kg
1132,Women's Horlicks Health & Nutrition Drink - Chocolate,Horlicks,325,265,Dairy & Beverages,Beverages,400 gm
1133,Women's Horlicks Health & Nutrition Drink Jar - Caramel,Horlicks,325,270,Dairy & Beverages,Beverages,400 gm
1134,Boost Refill Pack,Boost,219,203,Dairy & Beverages,Beverages,500 gm
1135,Britannia Thick Dahi,Britannia,75,39,Dairy & Beverages,Dairy,400 gm
1136,Amul Masti Dahi,Amul,42,39,Dairy & Beverages,Dairy,400 gm
1137,Cadbury Hot Chocolate Drinking Powder,Cadbury Cocoa Beverages,180,162,Dairy & Beverages,Beverages,200 gm
1138,ID Creamy Thick Curd - Dahi,ID,78,58,Dairy & Beverages,Dairy,400 gm
1139,Pediasure Nutritional Powder - Vanilla Delight Flavour,Pediasure,590,545,Dairy & Beverages,Beverages,400 gm
1140,Pediasure Nutritional Powder - Vanilla Delight Flavour,Pediasure,1080,975,Dairy & Beverages,Beverages,750 gm
1141,Ensure Nutrition Powder - Vanilla Flavour,Ensure,615,555,Dairy & Beverages,Beverages,400 gm
1142,Horlicks Classic Malt Jar,Horlicks,270,249,Dairy & Beverages,Beverages,500 gm
1143,Complan Kesar Badam Health Drink,Complan,325,295,Dairy & Beverages,Beverages,500 gm
1144,Horlicks Chocolate Delight Jar,Horlicks,245,209,Dairy & Beverages,Beverages,500 gm
1145,Protinex Health Drink Chocolate Flavour Tin,Protinex,399,350,Dairy & Beverages,Beverages,250 gm
1146,Horlicks Chocolate Delight Health Drink Refill,Horlicks,239,201,Dairy & Beverages,Beverages,500 gm
1147,Hershey's Natural Unsweetened Cocoa Powder,Hershey's,285,255,Dairy & Beverages,Beverages,225 gm
1148,Amul Premium Dahi,Amul,58,46,Dairy & Beverages,Dairy,400 gm
1149,Mother Dairy Mishti Doi,Mother Dairy,75,68,Dairy & Beverages,Dairy,400 gm
1150,Gaia Sport Whey Irish Chocolate Protein,Gaia,2300,1299,Dairy & Beverages,Beverages,1 kg
1151,Hershey's Milk Booster Chocolate Flavor,Hershey's,200,174,Dairy & Beverages,Beverages,450 gm
1152,Christopher Dark Cocoa Powder For Baking & Hot & Cold Drinks,Christopher,299,149,Dairy & Beverages,Beverages,200 gm
1153,Christopher Cocoa Original Drinking Cocoa,Christopher,299,124,Dairy & Beverages,Beverages,200 gm
1154,Horlicks Chocolate Delight Flavour Jar,Horlicks,115,106,Dairy & Beverages,Beverages,200 gm
1155,Blue Bird Cocoa Powder,Blue Bird,70,58,Dairy & Beverages,Beverages,50 gm
1156,Mirinda Orange,Mirinda,99,66,Dairy & Beverages,Beverages,2.25 L
1157,Thums Up,Thums up,38,33,Dairy & Beverages,Beverages,600 ml
1158,Thums Up,Thums up,90,59,Dairy & Beverages,Beverages,1.75 L
1159,Sprite,Sprite,90,59,Dairy & Beverages,Beverages,1.75 L
1160,Sprite,Sprite,38,33,Dairy & Beverages,Beverages,600 ml
1161,Thums Up Bottle,Thums Up,160,145,Dairy & Beverages,Beverages,8x250 ml
1162,Sprite,Sprite,160,135,Dairy & Beverages,Beverages,8x250 ml
1163,Coca-Cola Bottle,Coca-Cola,160,130,Dairy & Beverages,Beverages,8x250 ml
1164,Pepsi,Pepsi,99,66,Dairy & Beverages,Beverages,2.25 L
1165,Fanta Orange Flavour,Fanta,99,74,Dairy & Beverages,Beverages,2.25 L
1166,Bisleri Club Soda,Bisleri,20,10,Dairy & Beverages,Beverages,750 ml
1167,7 Up,7 Up,99,66,Dairy & Beverages,Beverages,2.25 L
1168,Coca-Cola,Coca-Cola,90,59,Dairy & Beverages,Beverages,1.75 L
1169,Limca,Limca,99,74,Dairy & Beverages,Beverages,2.25 L
1170,Fanta Orange Flavour,Fanta,160,135,Dairy & Beverages,Beverages,8x250 ml
1171,Xotik Jeeru Jeera Masala Drink,Xotik Beverages,60,45,Dairy & Beverages,Beverages,1 L
1172,Xotik Jeeru Jeera Masala Drink,Xotik Beverages,100,75,Dairy & Beverages,Beverages,2 L
1173,Diet Coke Tin,Coca-Cola,40,36,Dairy & Beverages,Beverages,300 ml
1174,Duke's Club Soda,Duke's,20,17,Dairy & Beverages,Beverages,750 ml
1175,Coolberg Assorted Non-Alcoholic Beer,Coolberg,474,317,Dairy & Beverages,Beverages,6x330 ml
1176,Budweiser Green Apple Non-Alcoholic Beer Can,Budweiser,90,55,Dairy & Beverages,Beverages,330 ml
1177,Pepsi,Pepsi,40,35,Dairy & Beverages,Beverages,750  ml
1178,Cravova Classic Mojito,Cravova,50,25,Dairy & Beverages,Beverages,300 ml
1179,Coolberg Cranberry Non-Alcoholic Beer,Coolberg,474,317,Dairy & Beverages,Beverages,6x330 ml
1180,Epigamia Low Fat Greek Yogurt Blueberry,Epigamia,55,39,Dairy & Beverages,Dairy,90 gm
1181,Coolberg Cranberry Non-Alcoholic Beer,Coolberg,79,49,Dairy & Beverages,Beverages,330 ml
1182,Cravova Peach Mojito,Cravova,50,25,Dairy & Beverages,Beverages,300 ml
1183,Epigamia Low Fat Greek Yogurt Strawberry,Epigamia,55,35,Dairy & Beverages,Dairy,90 gm
1184,Cravova Green Apple Mojito,Cravova,50,25,Dairy & Beverages,Beverages,300 ml
1185,Epigamia Greek Yogurt Natural,Epigamia,55,35,Dairy & Beverages,Dairy,90 gm
1186,Bisleri Limonata - With Lime Juice,Bisleri,40,25,Dairy & Beverages,Beverages,600 ml
1187,Coke Zero Sugar,Coca-Cola,40,35,Dairy & Beverages,Beverages,300 ml
1188,Cravova Watermelon Mojito,Cravova,50,25,Dairy & Beverages,Beverages,300 ml
1189,Coolberg Peach Non-Alcoholic Beer,Coolberg,79,52,Dairy & Beverages,Beverages,330 ml
1190,Epigamia Low Fat Greek Yogurt Alphonso Mango,Epigamia,55,40,Dairy & Beverages,Dairy,90 gm
1191,Cravova Fresh Lemonade,Cravova,50,25,Dairy & Beverages,Beverages,300 ml
1192,Epigamia Low Fat Greek Yogurt Wild Raspberry,Epigamia,55,44,Dairy & Beverages,Dairy,90 gm
1193,Coca-Cola Tin,Local Brand,40,36,Dairy & Beverages,Beverages,300 ml
1194,Coolberg Ginger Non-Alcoholic Beer,Coolberg,79,52,Dairy & Beverages,Beverages,330 ml
1195,Epigamia Greek Yogurt Zero Added Sugar Strawberry,Epigamia,75,49,Dairy & Beverages,Dairy,120 gm
1196,Bisleri Spyci - Masala Maar Ke,Bisleri,40,25,Dairy & Beverages,Beverages,600 ml
1197,Epigamia Greek Yogurt Smoothie - Blueberry,Epigamia,70,49,Dairy & Beverages,Dairy,200 ml
1198,Coolberg Malt Non-Alcoholic Beer,Coolberg,79,52,Dairy & Beverages,Beverages,330 ml
1199,Epigamia Greek Yogurt Smoothie - Strawberry,Epigamia,70,49,Dairy & Beverages,Dairy,200 ml
1200,Epigamia Greek Yogurt Zero Sugar Mixed Berry,Epigamia,75,49,Dairy & Beverages,Dairy,120 gm
1201,Epigamia Alphonso Mango Yogurt Smoothie,Epigamia,70,45,Dairy & Beverages,Dairy,200 ml
1202,Schweppes Indian Tonic Water Tin,Schweppes,50,40,Dairy & Beverages,Beverages,300 ml
1203,Schweppes Original Ginger Ale,Schweppes,50,40,Dairy & Beverages,Beverages,300 ml
1204,Xotik Jeeru Jeera Masala Drink,Xotik Jeeru,20,17,Dairy & Beverages,Beverages,300 ml
1205,O'cean Fruit Drink - Peach & Passion Fruit Flavour,O'cean,50,25,Dairy & Beverages,Beverages,500 ml
1206,Maaza Mango Drink,Maaza,70,52,Dairy & Beverages,Beverages,1.2 L
1207,Slice Mango Drink,Slice,95,70,Dairy & Beverages,Beverages,1.75 L
1208,Real Mixed Fruit,Real,118,78,Dairy & Beverages,Beverages,1 L
1209,Minute Maid Pulpy Orange Juice,Minute Maid,80,65,Dairy & Beverages,Beverages,1 L
1210,Frooti Mango Drink,Frooti,100,85,Dairy & Beverages,Beverages,2 L
1211,Mango Merry Mango Drink,Mango Merry,65,40,Dairy & Beverages,Beverages,1.2 L
1212,Mango Merry Mango Drink,Mango Merry,95,66,Dairy & Beverages,Beverages,2 L
1213,Real Fruit Power Orange,Real,118,88,Dairy & Beverages,Beverages,1 L
1214,B Natural Mixed Fruit Beverage,B Natural,130,65,Dairy & Beverages,Beverages,1 L
1215,Real Fruit Power Litchi,Real,115,74,Dairy & Beverages,Beverages,1 L
1216,B Natural Guava Fruit Beverage,B Natural,130,65,Dairy & Beverages,Beverages,1 L
1217,Real Fruit Power Guava,Real,110,95,Dairy & Beverages,Beverages,1 L
1218,Tropicana Mixed Fruit Delight,Tropicana,115,95,Dairy & Beverages,Beverages,1 L
1219,B Natural Litchi Fruit Beverage,B Natural,130,65,Dairy & Beverages,Beverages,1 L
1220,Raw Pressery Coconut Water,Raw Pressery,60,39,Dairy & Beverages,Beverages,200 ml
1221,Chitale Full Cream Shrikhand Amba,Chitale,78,70,Dairy & Beverages,Dairy,250 gm
1222,Chitale Full Cream Shrikhand Amba,Chitale,145,131,Dairy & Beverages,Dairy,500 gm
1223,Paper Boat Aamras,Paper Boat,130,89,Dairy & Beverages,Beverages,1 L
1224,Real Fruit Power Apple,Real,110,85,Dairy & Beverages,Beverages,1 L
1225,Paper Boat Aamras,Paper Boat,35,29,Dairy & Beverages,Beverages,200 ml
1226,Real Fruit Power Masala Guava,Real,125,65,Dairy & Beverages,Beverages,1 L
1227,Real Fruit Power Masala Mixed Fruit,Real,130,65,Dairy & Beverages,Beverages,1 L
1228,Amul Amrakhand,Amul,47,43,Dairy & Beverages,Dairy,200 gm
1229,Amul Amrakhand,Amul,105,97,Dairy & Beverages,Dairy,500 gm
1230,Amul Shrikhand Badam Pista,Amul,52,48,Dairy & Beverages,Dairy,200 gm
1231,Amul Shrikhand Badam Pista,Amul,120,110,Dairy & Beverages,Dairy,500 gm
1232,Tropicana Apple Delight,Tropicana,105,77,Dairy & Beverages,Beverages,1 L
1233,Paper Boat Chilli Guava,Paper Boat,35,25,Dairy & Beverages,Beverages,200 ml
1234,Tropicana Orange Delight,Tropicana,115,97,Dairy & Beverages,Beverages,1 L
1235,Tropicana Litchi Delight,Tropicana,110,90,Dairy & Beverages,Beverages,1 L
1236,Paper Boat Alphonso Aam,Paper Boat,20,13,Dairy & Beverages,Beverages,150 ml
1237,Amul Shrikhand Mango,Amul,105,97,Dairy & Beverages,Dairy,500 gm
1238,Amul Shrikhand Elaichi,Amul,47,43,Dairy & Beverages,Dairy,200 gm
1239,Amul Shrikhand Elaichi,Amul,105,97,Dairy & Beverages,Dairy,500 gm
1240,Paper Boat Jaljeera,Paper Boat,35,24,Dairy & Beverages,Beverages,200 ml
1241,Chitale Full Cream Badam Pista Shrikhand,Chitale,145,127,Dairy & Beverages,Dairy,500 gm
1242,Chitale Full Cream Badam Pista Shrikhand,Chitale,78,69,Dairy & Beverages,Dairy,250 gm
1243,Raw Pressery Orange Juice,Raw Pressery,330,247,Dairy & Beverages,Beverages,1 L
1244,Amul Shrikhand Kesar,Amul,120,112,Dairy & Beverages,Dairy,500 gm
1245,Paper Boat Anar - 1 L,Paper Boat,150,75,Dairy & Beverages,Beverages,1 L
1246,Chitale Full Cream Keshar Shrikhand,Chitale,78,71,Dairy & Beverages,Dairy,250 gm
1247,Chitale Full Cream Keshar Shrikhand,Chitale,145,134,Dairy & Beverages,Dairy,500 gm
1248,Baidyanath Amla Juice,Baidyanath,220,175,Dairy & Beverages,Beverages,1 L
1249,Raw Pressery Pomegranate Juice,Raw Pressery,425,318,Dairy & Beverages,Beverages,1 L
1250,Baidyanath Aloevera Juice,Baidyanath,250,200,Dairy & Beverages,Beverages,1 L
1251,Raw Pressery Sugarcane,Raw Pressery,220,165,Dairy & Beverages,Beverages,1 L
1252,Baidyanath Karela Jamun Juice,Baidyanath,325,260,Dairy & Beverages,Beverages,1 L
1253,Baidyanath Giloy Juice,Baidyanath,250,170,Dairy & Beverages,Beverages,1 L
1254,O'cean Pink Fruit Drink - Guava Flavour,OCean,50,25,Dairy & Beverages,Beverages,500 ml
1255,Glucon-D Orange,Glucon-D,173,147,Dairy & Beverages,Beverages,450 gm
